"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 17, 2020","5,658.66","5,604.83","5,667.39","5,585.40","146.24M","1.31%"
"Sep 16, 2020","5,585.40","5,554.10","5,598.22","5,533.69","185.08M","0.93%"
"Sep 15, 2020","5,533.69","5,507.93","5,547.50","5,490.60","157.43M","0.78%"
"Sep 14, 2020","5,490.60","5,450.63","5,499.46","5,438.91","110.09M","0.95%"
"Sep 11, 2020","5,438.91","5,411.52","5,447.53","5,399.54","93.74M","0.73%"
"Sep 10, 2020","5,399.54","5,380.35","5,406.62","5,370.39","133.70M","0.54%"
"Sep 09, 2020","5,370.39","5,337.86","5,370.39","5,316.05","102.21M","1.02%"
"Sep 08, 2020","5,316.05","5,308.74","5,325.64","5,306.58","99.28M","0.10%"
"Sep 07, 2020","5,310.67","5,312.30","5,330.46","5,306.92","89.79M","-0.01%"
"Sep 04, 2020","5,311.42","5,352.94","5,356.39","5,301.42","53.06M","-0.74%"
"Sep 03, 2020","5,350.85","5,361.98","5,366.74","5,350.85","71.56M","-0.17%"
"Sep 02, 2020","5,359.99","5,337.60","5,365.75","5,329.33","144.89M","0.58%"
"Aug 31, 2020","5,329.33","5,321.37","5,339.90","5,309.53","70.11M","0.16%"
"Aug 28, 2020","5,320.87","5,335.07","5,346.47","5,320.87","40.81M","-0.23%"
"Aug 27, 2020","5,333.32","5,342.17","5,345.90","5,317.87","50.78M","-0.04%"
"Aug 26, 2020","5,335.66","5,358.90","5,363.21","5,325.57","62.76M","-0.51%"
"Aug 25, 2020","5,363.21","5,388.48","5,390.32","5,346.51","63.88M","-0.42%"
"Aug 24, 2020","5,385.79","5,391.57","5,403.73","5,377.95","63.28M","0.06%"
"Aug 21, 2020","5,382.38","5,362.40","5,386.18","5,357.89","69.01M","0.41%"
"Aug 20, 2020","5,360.28","5,360.87","5,365.67","5,329.43","116.69M","0.17%"
"Aug 19, 2020","5,351.03","5,293.35","5,358.26","5,279.92","119.31M","1.35%"
"Aug 18, 2020","5,279.92","5,256.15","5,283.03","5,251.61","72.39M","0.54%"
"Aug 17, 2020","5,251.61","5,269.26","5,274.73","5,241.57","87.22M","-0.20%"
"Aug 14, 2020","5,261.99","5,245.79","5,265.58","5,235.61","119.31M","0.50%"
"Aug 13, 2020","5,235.61","5,230.25","5,255.87","5,220.57","63.16M","0.29%"
"Aug 12, 2020","5,220.57","5,209.37","5,226.95","5,196.40","67.55M","0.47%"
"Aug 11, 2020","5,196.40","5,161.81","5,203.46","5,150.75","108.21M","0.89%"
"Aug 10, 2020","5,150.75","5,177.73","5,179.43","5,140.00","76.29M","-0.50%"
"Aug 07, 2020","5,176.48","5,218.15","5,234.58","5,167.23","64.44M","-0.01%"
"Aug 06, 2020","5,176.85","5,157.83","5,185.23","5,146.44","44.97M","0.59%"
"Aug 05, 2020","5,146.44","5,179.76","5,182.35","5,146.44","30.44M","-0.39%"
"Aug 04, 2020","5,166.81","5,137.93","5,179.29","5,124.26","98.66M","0.83%"
"Jul 31, 2020","5,124.26","5,092.54","5,135.39","5,088.10","82.10M","0.71%"
"Jul 30, 2020","5,088.10","5,092.28","5,094.00","5,076.43","34.14M","-0.12%"
"Jul 29, 2020","5,094.00","5,102.02","5,109.43","5,090.74","43.52M","-0.11%"
"Jul 28, 2020","5,099.42","5,113.49","5,116.21","5,099.37","51.35M","-0.11%"
"Jul 27, 2020","5,105.12","5,084.48","5,112.48","5,065.30","72.04M","0.79%"
"Jul 24, 2020","5,065.30","5,041.11","5,071.59","5,038.68","62.09M","0.48%"
"Jul 23, 2020","5,040.88","5,022.66","5,048.69","5,015.43","62.30M","0.42%"
"Jul 22, 2020","5,019.79","5,036.61","5,041.84","5,019.79","29.85M","-0.29%"
"Jul 21, 2020","5,034.45","5,051.11","5,051.50","5,026.39","29.72M","-0.09%"
"Jul 20, 2020","5,038.85","4,999.68","5,039.68","4,988.50","102.78M","1.01%"
"Jul 17, 2020","4,988.50","4,962.20","4,992.88","4,953.54","35.36M","0.71%"
"Jul 16, 2020","4,953.54","4,920.64","4,964.62","4,916.69","30.46M","0.75%"
"Jul 15, 2020","4,916.69","4,945.86","4,948.67","4,892.25","17.07M","-0.61%"
"Jul 14, 2020","4,947.11","4,861.41","4,981.09","4,861.17","49.21M","1.38%"
"Jul 13, 2020","4,879.76","4,894.60","4,992.62","4,800.50","49.82M","-2.26%"
"Jul 10, 2020","4,992.62","5,070.34","5,090.41","4,987.84","75.08M","-1.92%"
"Jul 09, 2020","5,090.41","5,077.17","5,097.57","5,069.52","34.53M","0.41%"
"Jul 08, 2020","5,069.52","5,083.80","5,085.12","5,069.52","72.64M","-0.24%"
"Jul 07, 2020","5,081.78","5,080.61","5,105.82","5,075.90","42.55M","0.12%"
"Jul 06, 2020","5,075.90","5,052.49","5,085.64","5,031.76","40.91M","0.49%"
"Jul 03, 2020","5,050.90","5,059.82","5,060.17","5,044.59","39.70M","-1.14%"
"Jul 02, 2020","5,109.04","5,149.80","5,149.82","5,086.68","37.10M","-0.76%"
"Jul 01, 2020","5,148.41","5,149.64","5,159.81","5,143.63","32.30M","-0.02%"
"Jun 30, 2020","5,149.57","5,165.37","5,165.37","5,134.19","42.64M","-0.08%"
"Jun 29, 2020","5,153.77","5,171.98","5,178.56","5,143.39","34.39M","-0.19%"
"Jun 26, 2020","5,163.35","5,155.12","5,163.35","5,128.55","47.19M","0.35%"
"Jun 25, 2020","5,145.55","5,129.18","5,153.12","5,111.94","52.81M","0.66%"
"Jun 24, 2020","5,111.94","5,107.88","5,127.31","5,083.07","49.52M","0.57%"
"Jun 23, 2020","5,083.07","5,052.60","5,094.92","5,046.50","83.15M","0.72%"
"Jun 22, 2020","5,046.50","4,999.72","5,064.40","4,990.42","38.70M","1.12%"
"Jun 19, 2020","4,990.42","4,979.88","5,001.34","4,966.29","31.95M","0.27%"
"Jun 18, 2020","4,976.98","4,966.97","4,992.23","4,958.24","37.64M","0.38%"
"Jun 17, 2020","4,958.24","4,932.70","4,983.34","4,915.56","80.81M","0.87%"
"Jun 16, 2020","4,915.56","4,916.72","4,940.99","4,909.41","25.52M","0.10%"
"Jun 15, 2020","4,910.83","4,909.06","4,923.49","4,894.13","30.93M","-0.08%"
"Jun 12, 2020","4,914.83","4,891.68","4,921.83","4,876.89","33.28M","-0.05%"
"Jun 11, 2020","4,917.24","4,931.14","4,952.08","4,909.14","40.48M","-0.01%"
"Jun 10, 2020","4,917.54","4,923.16","4,937.42","4,909.48","35.08M","0.08%"
"Jun 09, 2020","4,913.37","4,854.96","4,919.98","4,841.85","70.16M","1.48%"
"Jun 08, 2020","4,841.85","4,795.66","4,841.85","4,781.03","65.80M","1.27%"
"Jun 04, 2020","4,781.03","4,777.74","4,806.75","4,773.13","14.79M","-0.03%"
"Jun 03, 2020","4,782.43","4,789.17","4,799.20","4,775.97","49.18M","-0.17%"
"Jun 02, 2020","4,790.60","4,811.90","4,814.57","4,789.47","192.42M","-0.10%"
"Jun 01, 2020","4,795.40","4,847.44","4,847.44","4,788.67","34.89M","-1.06%"
"May 29, 2020","4,846.76","4,902.43","4,902.43","4,837.67","38.19M","-0.83%"
"May 28, 2020","4,887.16","4,807.61","4,887.16","4,800.01","109.58M","1.82%"
"May 27, 2020","4,800.01","4,784.01","4,813.09","4,768.73","35.29M","0.41%"
"May 26, 2020","4,780.22","4,824.21","4,825.73","4,778.58","52.44M","-0.41%"
"May 22, 2020","4,799.89","4,818.30","4,860.83","4,775.11","94.71M","0.32%"
"May 21, 2020","4,784.80","4,692.99","4,807.09","4,655.22","51.84M","2.78%"
"May 20, 2020","4,655.22","4,729.38","4,759.80","4,632.14","52.85M","-0.97%"
"May 19, 2020","4,701.03","4,659.39","4,761.23","4,606.85","56.98M","2.04%"
"May 18, 2020","4,606.85","4,479.64","4,634.18","4,439.04","34.81M","3.78%"
"May 15, 2020","4,439.04","4,407.62","4,457.04","4,393.54","26.06M","1.04%"
"May 14, 2020","4,393.54","4,387.09","4,426.98","4,367.25","85.09M","0.60%"
"May 13, 2020","4,367.25","4,283.07","4,419.45","4,247.95","42.57M","2.81%"
"May 12, 2020","4,247.95","4,308.56","4,392.43","4,219.03","193.37M","-3.29%"
"May 11, 2020","4,392.43","4,393.56","4,571.63","4,384.10","4.41M","-3.92%"
"Mar 20, 2020","4,571.63","4,768.94","4,874.73","4,558.32","23.60M","-6.22%"
"Mar 13, 2020","4,874.73","5,005.77","5,019.55","4,814.90","52.70M","-2.89%"
"Mar 12, 2020","5,019.55","5,171.13","5,204.52","5,007.36","34.98M","-3.55%"
"Mar 11, 2020","5,204.52","5,128.38","5,223.80","5,121.91","29.56M","1.61%"
"Mar 10, 2020","5,121.91","5,303.62","5,343.15","5,114.38","41.00M","-4.14%"
"Mar 06, 2020","5,343.15","5,477.82","5,484.25","5,337.77","46.91M","-3.47%"
"Mar 05, 2020","5,535.45","5,620.32","5,623.83","5,529.61","14.50M","0.00%"
"Mar 04, 2020","5,535.45","5,620.32","5,623.83","5,529.61","14.50M","-1.48%"
"Mar 03, 2020","5,618.41","5,620.63","5,649.71","5,614.29","31.96M","0.07%"
"Mar 02, 2020","5,614.29","5,591.45","5,627.68","5,590.94","14.16M","0.38%"
"Feb 28, 2020","5,592.92","5,666.07","5,667.87","5,587.52","21.56M","-1.32%"
"Feb 27, 2020","5,667.87","5,646.42","5,694.79","5,643.62","16.00M","0.43%"
"Feb 26, 2020","5,643.62","5,729.05","5,732.74","5,641.92","12.95M","-1.52%"
"Feb 25, 2020","5,730.93","5,799.31","5,800.66","5,730.93","18.69M","-1.14%"
"Feb 24, 2020","5,797.30","5,833.35","5,840.69","5,795.86","12.75M","-0.57%"
"Feb 20, 2020","5,830.51","5,843.88","5,848.85","5,817.99","23.10M","-0.30%"
"Feb 19, 2020","5,847.83","5,843.38","5,857.24","5,831.01","10.98M","0.29%"
"Feb 18, 2020","5,831.01","5,816.75","5,832.58","5,814.27","17.23M","0.29%"
"Feb 17, 2020","5,814.27","5,833.39","5,843.84","5,809.04","19.63M","-0.26%"
"Feb 14, 2020","5,829.21","5,860.54","5,871.09","5,829.21","12.49M","-0.48%"
"Feb 13, 2020","5,857.30","5,879.95","5,884.79","5,852.37","10.25M","-0.36%"
"Feb 12, 2020","5,878.44","5,896.08","5,899.06","5,877.39","16.72M","-0.35%"
"Feb 11, 2020","5,899.06","5,934.95","5,940.12","5,897.80","13.05M","-0.58%"
"Feb 10, 2020","5,933.75","5,942.92","5,943.02","5,925.09","10.85M","-0.15%"
"Feb 07, 2020","5,942.53","5,951.17","5,954.93","5,941.41","18.38M","-0.10%"
"Feb 06, 2020","5,948.27","5,941.16","5,953.94","5,912.90","35.79M","0.10%"
"Feb 05, 2020","5,942.07","5,932.25","5,945.46","5,924.25","9.86M","0.19%"
"Feb 03, 2020","5,931.04","5,934.18","5,940.96","5,916.81","7.48M","0.02%"
"Jan 31, 2020","5,929.76","5,927.23","5,939.53","5,923.40","15.35M","0.03%"
"Jan 30, 2020","5,927.72","5,936.52","5,942.22","5,921.06","15.05M","-0.14%"
"Jan 29, 2020","5,936.30","5,884.55","5,947.17","5,884.55","24.95M","0.87%"
"Jan 28, 2020","5,884.81","5,918.66","5,934.63","5,880.11","13.94M","-0.84%"
"Jan 27, 2020","5,934.63","5,991.42","5,992.92","5,931.19","14.46M","-0.95%"
"Jan 24, 2020","5,991.29","5,982.38","5,996.32","5,979.28","11.98M","0.11%"
"Jan 23, 2020","5,984.50","5,941.54","5,993.60","5,936.70","13.34M","0.73%"
"Jan 22, 2020","5,941.42","5,925.82","5,963.35","5,914.33","918.76M","0.46%"
"Jan 21, 2020","5,914.33","5,905.95","5,916.96","5,902.67","13.78M","0.14%"
"Jan 20, 2020","5,906.20","5,933.83","5,944.67","5,897.33","12.25M","-0.45%"
"Jan 17, 2020","5,932.92","5,945.56","5,948.43","5,924.10","11.36M","-0.14%"
"Jan 16, 2020","5,940.99","5,974.00","5,976.27","5,927.04","124.91M","-0.46%"
"Jan 14, 2020","5,968.63","5,982.09","5,994.70","5,965.70","16.36M","-0.20%"
"Jan 13, 2020","5,980.67","5,981.29","6,008.89","5,980.67","58.32M","-0.11%"
"Jan 09, 2020","5,987.55","5,913.13","5,996.64","5,898.84","175.74M","1.50%"
"Jan 08, 2020","5,898.84","6,028.08","6,032.72","5,895.98","50.44M","-2.11%"
"Jan 07, 2020","6,026.09","6,077.65","6,084.13","6,020.83","34.00M","-0.72%"
"Jan 06, 2020","6,069.93","6,118.15","6,119.74","6,066.78","30.46M","-0.68%"
"Jan 03, 2020","6,111.28","6,111.31","6,138.36","6,099.38","38.90M","0.05%"
"Jan 02, 2020","6,108.53","6,134.44","6,137.68","6,099.50","49.48M","-0.34%"
"Dec 31, 2019","6,129.21","6,165.71","6,175.76","6,122.52","49.67M","-0.44%"
"Dec 30, 2019","6,156.00","6,130.10","6,157.99","6,122.64","48.09M","0.54%"
"Dec 27, 2019","6,122.64","6,088.75","6,122.64","6,086.69","24.22M","0.59%"
"Dec 26, 2019","6,086.69","6,054.78","6,086.69","6,052.62","39.71M","0.55%"
"Dec 24, 2019","6,053.12","6,031.74","6,060.16","6,030.82","8.66M","0.35%"
"Dec 23, 2019","6,031.81","6,046.85","6,048.67","6,031.81","13.05M","-0.21%"
"Dec 20, 2019","6,044.73","6,045.39","6,059.70","6,043.13","43.56M","-0.01%"
"Dec 19, 2019","6,045.27","6,062.36","6,065.63","6,039.40","8.69M","-0.23%"
"Dec 18, 2019","6,059.09","6,062.11","6,063.60","6,049.02","7.89M","-0.05%"
"Dec 17, 2019","6,062.33","6,059.53","6,063.11","6,051.38","7.66M","0.09%"
"Dec 16, 2019","6,057.00","6,085.68","6,089.67","6,052.85","10.96M","-0.54%"
"Dec 13, 2019","6,089.67","6,101.29","6,110.93","6,088.59","12.88M","-0.16%"
"Dec 12, 2019","6,099.66","6,064.56","6,115.55","6,060.20","21.30M","0.65%"
"Dec 10, 2019","6,060.20","6,101.01","6,103.63","6,050.99","14.82M","-0.71%"
"Dec 09, 2019","6,103.63","6,152.85","6,154.13","6,102.86","18.44M","-0.75%"
"Dec 06, 2019","6,149.57","6,162.09","6,167.94","6,143.33","29.65M","-0.18%"
"Dec 05, 2019","6,160.88","6,206.85","6,214.67","6,160.88","67.43M","-0.73%"
"Dec 04, 2019","6,206.40","6,217.27","6,228.68","6,205.00","35.25M","-0.14%"
"Dec 03, 2019","6,214.99","6,218.92","6,228.79","6,201.43","74.31M","-0.00%"
"Dec 02, 2019","6,215.23","6,218.29","6,239.17","6,211.97","38.78M","0.05%"
"Nov 29, 2019","6,211.97","6,203.94","6,239.32","6,201.12","62.92M","0.17%"
"Nov 28, 2019","6,201.12","6,182.85","6,236.93","6,118.87","90.54M","1.34%"
"Nov 27, 2019","6,118.87","6,105.25","6,123.95","6,094.85","72.35M","0.39%"
"Nov 26, 2019","6,094.85","6,083.32","6,117.60","6,083.31","32.51M","0.18%"
"Nov 25, 2019","6,083.74","6,117.74","6,128.19","6,078.40","41.17M","-0.38%"
"Nov 22, 2019","6,107.06","6,182.68","6,185.66","6,107.06","61.31M","-0.51%"
"Nov 21, 2019","6,138.33","6,144.71","6,160.60","6,132.60","54.27M","-0.00%"
"Nov 20, 2019","6,138.59","6,145.75","6,175.44","6,124.41","89.83M","-0.07%"
"Nov 19, 2019","6,142.76","6,143.01","6,181.90","6,122.03","72.95M","0.22%"
"Nov 18, 2019","6,129.56","6,089.78","6,136.13","6,023.02","116.45M","1.77%"
"Nov 15, 2019","6,023.02","5,983.85","6,025.55","5,977.60","59.72M","0.72%"
"Nov 14, 2019","5,980.07","5,993.16","6,003.23","5,976.79","22.91M","-0.16%"
"Nov 13, 2019","5,989.42","5,967.41","5,997.62","5,954.62","31.29M","0.58%"
"Nov 08, 2019","5,954.62","5,935.40","5,965.44","5,932.07","37.88M","0.38%"
"Nov 07, 2019","5,932.07","5,955.54","5,959.37","5,928.18","36.75M","-0.41%"
"Nov 06, 2019","5,956.52","5,992.63","5,998.37","5,951.67","22.59M","-0.62%"
"Nov 05, 2019","5,993.66","6,010.71","6,021.15","5,993.66","31.26M","-0.27%"
"Nov 04, 2019","6,010.18","6,038.12","6,041.10","6,007.62","40.29M","-0.36%"
"Nov 01, 2019","6,032.08","5,995.36","6,045.09","5,990.24","48.36M","0.70%"
"Oct 31, 2019","5,990.24","5,960.18","6,000.22","5,957.27","70.56M","0.55%"
"Oct 30, 2019","5,957.27","5,963.89","5,964.25","5,937.81","53.90M","-0.12%"
"Oct 29, 2019","5,964.25","5,950.17","5,970.83","5,946.08","53.99M","0.31%"
"Oct 28, 2019","5,946.08","5,939.68","5,949.68","5,927.94","39.36M","0.18%"
"Oct 25, 2019","5,935.26","5,918.02","5,945.88","5,916.28","112.43M","0.32%"
"Oct 24, 2019","5,916.28","5,891.93","5,923.92","5,888.34","54.61M","0.47%"
"Oct 23, 2019","5,888.34","5,883.23","5,893.42","5,880.40","32.94M","0.14%"
"Oct 22, 2019","5,880.40","5,865.59","5,882.75","5,863.99","36.78M","0.28%"
"Oct 21, 2019","5,863.99","5,864.51","5,875.35","5,857.75","28.02M","0.01%"
"Oct 18, 2019","5,863.48","5,862.46","5,875.07","5,853.20","71.90M","0.06%"
"Oct 17, 2019","5,860.09","5,837.89","5,865.01","5,836.62","20.71M","0.40%"
"Oct 16, 2019","5,836.62","5,841.52","5,859.91","5,829.83","36.17M","-0.07%"
"Oct 15, 2019","5,840.48","5,870.02","5,876.21","5,830.45","37.49M","-0.50%"
"Oct 14, 2019","5,870.09","5,845.08","5,897.11","5,834.66","43.47M","0.61%"
"Oct 11, 2019","5,834.66","5,824.59","5,844.99","5,808.09","92.96M","0.35%"
"Oct 10, 2019","5,814.44","5,819.38","5,835.17","5,805.17","48.73M","0.08%"
"Oct 09, 2019","5,809.59","5,744.59","5,817.95","5,738.90","52.72M","1.23%"
"Oct 08, 2019","5,738.90","5,714.20","5,740.12","5,708.92","13.15M","0.53%"
"Oct 07, 2019","5,708.92","5,695.36","5,715.29","5,689.90","13.83M","0.33%"
"Oct 04, 2019","5,689.90","5,677.92","5,690.44","5,673.39","8.49M","0.22%"
"Oct 03, 2019","5,677.50","5,696.88","5,697.93","5,667.43","14.38M","-0.36%"
"Oct 02, 2019","5,697.93","5,738.75","5,738.78","5,693.41","13.30M","-0.62%"
"Oct 01, 2019","5,733.64","5,738.17","5,741.89","5,732.49","7.59M","-0.08%"
"Sep 30, 2019","5,738.24","5,771.37","5,775.72","5,726.20","26.45M","-0.58%"
"Sep 27, 2019","5,771.69","5,774.40","5,794.63","5,766.62","20.18M","-0.02%"
"Sep 26, 2019","5,772.76","5,762.01","5,781.22","5,758.92","16.78M","0.18%"
"Sep 25, 2019","5,762.40","5,737.22","5,763.11","5,735.12","19.27M","0.33%"
"Sep 24, 2019","5,743.54","5,778.78","5,779.58","5,738.10","18.63M","-0.57%"
"Sep 23, 2019","5,776.48","5,795.24","5,795.40","5,775.06","17.28M","-0.30%"
"Sep 20, 2019","5,793.89","5,809.23","5,811.04","5,790.47","22.20M","-0.30%"
"Sep 19, 2019","5,811.04","5,811.43","5,833.54","5,807.51","16.34M","0.06%"
"Sep 18, 2019","5,807.51","5,808.23","5,816.29","5,802.10","20.15M","-0.06%"
"Sep 17, 2019","5,811.07","5,828.36","5,834.16","5,804.62","312.99M","-0.29%"
"Sep 16, 2019","5,828.14","5,826.54","5,845.85","5,825.54","31.25M","0.04%"
